model,output_step,dataset,rmse,mae,r2
conv1d,5,Test,0.0022458593825242,0.0015455129685539,0.8900057498933964
conv1d_gru,5,Test,0.0017705831888594,0.0011935537078424,0.9316343599784584
gru,5,Test,0.0019787664275017,0.0013296362312798,0.9146125807025658
conv1d,10,Test,0.0024872651961315,0.0016634283567422,0.8653091149426514
conv1d_gru,10,Test,0.0017999103940541,0.0011171910687614,0.9294663905903372
gru,10,Test,0.0024076833259731,0.0015734280723762,0.8737904173511295
conv1d,15,Test,0.0027661033638197,0.0018391167917172,0.8336862206735762
conv1d_gru,15,Test,0.0021263616809676,0.0013063494143663,0.9017199944043448
gru,15,Test,0.0023254424032679,0.0014628602645772,0.882455478476944
conv1d,20,Test,0.0027203934225593,0.0017935341267029,0.8393959665206813
conv1d_gru,20,Test,0.0022472900047636,0.0013612565123711,0.8903999968578258
gru,20,Test,0.0022585735820805,0.0013579559050664,0.889296517646823
