model,model_type,output_step,dataset,rmse,mae,r2
Conv1D,cnn,5,Test,0.0001192182775373,9.26061633233308e-05,0.8095231411839929
Conv1D-GRU,cnn_gru,5,Test,0.0001088972253442,8.221139440151213e-05,0.8410512139330472
Conv1D-ResNet,cnn_resnet,5,Test,0.00010806252092,8.269352585585661e-05,0.8434799347413364
Conv1D-ResNet-GRU,cnn_resnet_gru,5,Test,0.000103698501206,7.962083481029083e-05,0.8558709054204752
GRU,gru,5,Test,0.0001105174989159,8.39254558097767e-05,0.8362848190185979
Conv1D,cnn,10,Test,0.0001461620848024,0.0001155376491403,0.7141862713736513
Conv1D-GRU,cnn_gru,10,Test,0.0001319292720111,0.0001033499282784,0.7671151852253372
Conv1D-ResNet,cnn_resnet,10,Test,0.0001408961445561,0.0001115549845943,0.7344322265015282
Conv1D-ResNet-GRU,cnn_resnet_gru,10,Test,0.0001300936520032,0.0001021795701361,0.7735506669280671
GRU,gru,10,Test,0.0001373493487525,0.0001081805768651,0.7475889165852364
Conv1D,cnn,15,Test,0.0001697065889722,0.0001347301228826,0.6145147394909242
Conv1D-GRU,cnn_gru,15,Test,0.0001553303862714,0.0001233683457567,0.6768144331653435
Conv1D-ResNet,cnn_resnet,15,Test,0.0001434168479918,0.0001126837678612,0.7243970168728622
Conv1D-ResNet-GRU,cnn_resnet_gru,15,Test,0.0001401565735727,0.0001103985231884,0.7367529749034439
GRU,gru,15,Test,0.0001439611402428,0.0001135677154832,0.7223663961303722
