model,model_type,output_step,dataset,rmse,mae,r2
CNN,cnn,5,Test,0.0022881733721069,0.0018269481235161,0.5720179822652796
CNN+GRU,cnn_gru,5,Test,0.0014938098382191,0.0011539270803155,0.8173587838892684
CNN+ResNet,cnn_resnet,5,Test,0.001412038836125,0.0010774846293245,0.8366845723697581
CNN+ResNet+GRU,cnn_resnet_gru,5,Test,0.0014843489369382,0.0011413972635512,0.8196324191196981
GRU,gru,5,Test,0.0015841104110335,0.0012275978547044,0.79453936072286
CNN,cnn,10,Test,0.0033094100556784,0.002657508258731,0.1030776587302019
CNN+GRU,cnn_gru,10,Test,0.0016469259289541,0.0012769033490592,0.7778147485426847
CNN+ResNet,cnn_resnet,10,Test,0.0016256181481017,0.0012776973415527,0.783517815254452
CNN+ResNet+GRU,cnn_resnet_gru,10,Test,0.0016340098861045,0.0012742132592794,0.7812898059593829
GRU,gru,10,Test,0.0016053328978788,0.0012511558677251,0.7889551134403759
CNN,cnn,15,Test,0.0027023933190855,0.0021585325541032,0.3997154581557407
CNN+GRU,cnn_gru,15,Test,0.0017571142358688,0.0013631377628478,0.7455867765557281
CNN+ResNet,cnn_resnet,15,Test,0.0017603995072852,0.0013839424724833,0.7446763615566832
CNN+ResNet+GRU,cnn_resnet_gru,15,Test,0.0018441638051822,0.0014285590474636,0.7197688318946917
GRU,gru,15,Test,0.0018685296094791,0.0014648175512245,0.7124101515738359
